0,gold formula
33333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,"eventually[14,26] ( not ( not ( ( ( ( not ( x_0 >= 1.6169 ) until[21,27] always[4,17] ( x_0 >= 0.1375 ) ) and not ( ( x_2 >= -2.1774 until[32,36] x_1 >= 0.8231 ) ) ) and ( eventually[12,32] ( ( x_1 >= -0.2906 or x_1 >= 0.2786 ) ) or not ( always ( x_1 >= 0.4721 ) ) ) ) ) ) )"
33333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,"( not ( not ( ( ( ( not ( x_2 <= 0.0759 ) until[18,25] ( x_1 <= -1.8819 and x_0 >= -0.3128 ) ) and ( always[12,20] ( x_1 <= 1.4623 ) or ( x_0 <= -1.3728 until[0,inf] x_1 >= -0.8968 ) ) ) until[3,31] ( always ( ( x_2 >= 0.0624 or x_2 >= -0.8631 ) ) and not ( ( x_2 <= 1.6501 and x_1 >= 0.6513 ) ) ) ) ) ) and always[27,inf] ( not ( always[15,31] ( not ( always[30,36] ( ( x_2 >= 0.7901 and x_2 >= -0.9166 ) ) ) ) ) ) )"
"[1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ","( always[18,23] ( ( ( always[8,inf] ( eventually[14,36] ( always ( x_0 <= -0.3038 ) ) ) until not ( ( ( x_1 >= 0.5996 or x_0 <= 0.6491 ) until[20,31] ( x_1 <= 1.5906 or x_1 <= 0.4516 ) ) ) ) or not ( always[18,36] ( ( not ( x_0 <= 0.1267 ) until[32,35] ( x_0 <= 0.1282 or x_2 <= -0.2951 ) ) ) ) ) ) or ( not ( eventually[16,20] ( always[6,33] ( not ( ( x_2 >= 1.2825 until[3,inf] x_1 >= -0.1174 ) ) ) ) ) until[16,inf] always ( not ( ( ( not ( x_2 <= 0.8564 ) until ( x_0 <= -1.2346 or x_2 >= 0.4646 ) ) until eventually[29,inf] ( ( x_0 <= 0.458 or x_2 >= -0.213 ) ) ) ) ) ) )"
33333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,"always[29,31] ( ( not ( ( eventually[18,34] ( ( always[3,inf] ( x_1 >= -1.2899 ) and not ( x_1 <= 0.6389 ) ) ) and ( not ( always[22,29] ( x_1 >= -0.038 ) ) until[9,15] not ( ( x_1 >= -1.2826 or x_2 >= 0.1224 ) ) ) ) ) until not ( not ( ( ( ( x_1 >= 1.7592 or x_0 <= -1.0878 ) or ( x_2 >= 0.5301 and x_0 <= -1.2195 ) ) and ( ( x_2 <= 0.2589 and x_0 >= -0.3134 ) until[8,19] ( x_2 >= -0.1321 or x_1 <= -0.6923 ) ) ) ) ) ) )"
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,"eventually ( ( ( not ( ( ( not ( x_0 <= 0.362 ) and ( x_2 <= 0.3804 until[2,inf] x_0 >= -1.3505 ) ) or not ( ( x_0 >= 0.2014 until[16,27] x_2 <= -0.5791 ) ) ) ) until eventually[0,3] ( not ( ( ( x_0 <= 0.7247 until[26,inf] x_2 >= 0.4667 ) or ( x_1 <= 0.3995 until[25,inf] x_0 <= -0.265 ) ) ) ) ) or eventually ( always[14,inf] ( eventually[34,36] ( eventually[25,inf] ( eventually ( x_1 <= -0.0875 ) ) ) ) ) ) )"
x_[[[[[[[[[1 x_1 x_1 1 x_1 1 x_1 1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_                                  x_[[[[[[[x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_                                      x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_                              x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_ x_ x_ x_ x_                 x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_ x_ x_ x_         x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_ x_ x_                 x_ x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x,"( ( eventually[16,inf] ( not ( always[3,6] ( ( ( x_0 >= 0.6135 or x_2 >= -0.1224 ) until[8,23] ( x_0 >= -0.4374 until[34,36] x_0 <= 0.0945 ) ) ) ) ) and eventually ( always ( eventually[9,23] ( ( always[7,21] ( x_0 <= -1.064 ) or not ( x_2 >= 0.4989 ) ) ) ) ) ) and always[10,17] ( ( always[0,17] ( ( ( always[28,inf] ( x_2 >= -0.1979 ) and ( x_2 <= 1.2452 until[30,34] x_0 <= 0.6162 ) ) until[23,30] not ( ( x_1 >= 1.925 and x_2 <= -1.0488 ) ) ) ) or not ( eventually[6,34] ( ( eventually[8,28] ( x_1 >= -0.6543 ) and ( x_0 >= 1.0698 and x_0 <= -1.1438 ) ) ) ) ) ) )"
33333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,"( ( not ( not ( ( always[2,8] ( ( x_1 >= 1.512 or x_0 <= -1.526 ) ) and ( eventually[11,33] ( x_0 <= 0.6594 ) until[13,23] always[14,30] ( x_2 >= 1.1345 ) ) ) ) ) or always ( ( not ( ( always ( x_0 <= 1.3183 ) and eventually[31,33] ( x_1 <= -1.1417 ) ) ) or ( ( ( x_2 >= 0.2562 until[17,23] x_1 <= -0.6287 ) and ( x_1 <= 0.5059 and x_2 <= 0.234 ) ) and ( ( x_1 <= -0.5092 until[30,36] x_2 >= -1.0169 ) until[6,35] ( x_0 <= 0.9133 or x_1 <= 0.3026 ) ) ) ) ) ) and not ( eventually[30,32] ( not ( always ( always[20,inf] ( always[23,30] ( x_1 >= 0.7093 ) ) ) ) ) ) )"
33333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,"always ( always[32,inf] ( ( not ( eventually ( not ( ( x_2 <= -0.1414 until[29,inf] x_0 >= 1.3058 ) ) ) ) until[6,25] not ( not ( ( ( x_0 <= 2.4792 and x_2 >= 0.4566 ) and ( x_1 <= -0.6508 or x_2 <= -0.1371 ) ) ) ) ) ) )"
x_[[[[[[[[[[[[[[1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_1 x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_                                x_[[[[[[[x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x,"eventually[1,3] ( ( always ( not ( ( always[29,31] ( ( x_2 >= -0.8241 or x_0 <= -0.9005 ) ) until[12,inf] ( not ( x_2 >= -0.7954 ) and not ( x_2 >= -0.6228 ) ) ) ) ) or ( eventually[13,inf] ( ( ( ( x_0 <= 0.4693 until[19,inf] x_2 <= -0.5879 ) or eventually[0,inf] ( x_2 >= 2.6799 ) ) and always[19,25] ( ( x_2 >= 1.2415 until[26,inf] x_2 >= 0.7517 ) ) ) ) and not ( ( always[11,28] ( ( x_0 >= 1.257 or x_0 <= 0.7779 ) ) until[8,26] not ( eventually[27,33] ( x_1 <= -0.4064 ) ) ) ) ) ) )"
33333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,"always[32,36] ( ( not ( ( ( always ( ( x_0 >= -0.0911 until[16,inf] x_2 >= -0.2394 ) ) or ( always[6,inf] ( x_2 <= -1.8266 ) and ( x_0 >= 1.1707 until[9,33] x_1 >= 0.01 ) ) ) and ( ( not ( x_0 >= -0.2992 ) or not ( x_0 >= -0.4493 ) ) or ( ( x_0 <= 1.9569 until[31,36] x_0 >= 0.0311 ) and always[2,7] ( x_1 <= 2.2393 ) ) ) ) ) and eventually[7,9] ( not ( not ( ( eventually[26,32] ( x_2 >= 0.1869 ) and eventually[30,33] ( x_0 >= 0.5544 ) ) ) ) ) ) )"
33333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,"( always[28,inf] ( eventually[3,23] ( ( not ( not ( eventually[20,inf] ( x_2 >= 0.7102 ) ) ) and not ( eventually[15,18] ( eventually[17,24] ( x_1 >= 0.0113 ) ) ) ) ) ) and ( not ( not ( ( not ( ( x_0 <= -0.6509 and x_2 >= 0.3576 ) ) or ( always[22,31] ( x_0 <= 1.0405 ) or always[32,36] ( x_2 <= 2.9237 ) ) ) ) ) until[4,18] ( ( not ( always[18,inf] ( always ( x_0 <= 0.0829 ) ) ) and ( not ( ( x_0 <= -1.0358 until[32,35] x_1 >= -0.0433 ) ) and always[23,35] ( ( x_2 >= 0.1061 and x_0 >= -0.0827 ) ) ) ) or eventually[30,32] ( ( not ( not ( x_2 <= -0.357 ) ) and not ( always ( x_0 >= -2.1774 ) ) ) ) ) ) )"
