,Formula
0,"( ( ( ( x_1 >= -0.1973 and x_1 >= -1.2868 ) and ( x_0 <= 0.0535 or x_1 >= -1.3175 ) ) until[19,inf] ( ( x_1 >= 0.5 and x_3 <= 0.5967 ) until[0,14] always[24,28] ( x_3 <= 1.0411 ) ) ) and ( always[29,36] ( ( x_3 <= -0.6396 or x_0 <= -0.1951 ) ) until[26,31] always[9,inf] ( ( x_1 <= -0.2663 or x_1 >= 0.6444 ) ) ) )"
1,"( ( eventually[34,36] ( ( x_2 <= -0.89 and x_1 >= -1.4949 ) ) and eventually ( always[1,inf] ( x_3 >= -0.5049 ) ) ) and ( not ( always[13,inf] ( x_1 >= -0.7587 ) ) and ( ( x_0 >= 0.2157 until[19,32] x_2 >= 0.1688 ) until ( x_1 >= 0.1759 or x_0 <= -1.4789 ) ) ) )"
2,"( not ( eventually[5,inf] ( ( x_1 >= -0.2081 and x_2 >= 1.5332 ) ) ) until[31,35] ( not ( always[26,28] ( x_2 >= -1.3708 ) ) or not ( eventually[12,inf] ( x_2 >= -0.1893 ) ) ) )"
3,"( eventually[20,31] ( ( ( x_3 >= 0.5266 and x_3 >= 0.6703 ) or not ( x_0 <= -0.7744 ) ) ) until[14,23] not ( ( not ( x_0 >= -1.2578 ) until[15,17] ( x_0 >= 2.2173 or x_3 >= 0.3865 ) ) ) )"
4,"( ( ( ( x_2 >= 0.4089 and x_0 >= 0.9103 ) or eventually[20,inf] ( x_1 <= -1.5654 ) ) until[6,34] ( ( x_2 >= -2.1547 until[25,35] x_3 <= 0.6561 ) and ( x_2 >= -0.3173 or x_0 >= 0.4917 ) ) ) or ( ( always[4,11] ( x_0 >= -0.869 ) until[18,30] always[10,18] ( x_1 <= 0.5188 ) ) or eventually[15,32] ( ( x_0 <= -1.0417 or x_1 >= 0.6685 ) ) ) )"
5,"( not ( always[24,31] ( always[2,21] ( x_1 >= -0.1157 ) ) ) until[29,33] ( ( not ( x_0 <= 0.5592 ) until[12,inf] ( x_3 <= 1.0939 and x_3 >= -0.836 ) ) and ( ( x_1 >= 0.4807 or x_2 <= 1.5898 ) and ( x_3 >= 0.0714 and x_3 >= 1.2342 ) ) ) )"
6,"( ( ( not ( x_3 >= 0.1322 ) or always[9,33] ( x_1 <= 0.5233 ) ) or not ( ( x_3 <= -1.2997 and x_2 >= 2.1007 ) ) ) or ( ( not ( x_0 >= 0.6931 ) until[19,23] not ( x_1 <= -1.0198 ) ) or ( ( x_0 <= -1.4538 until[4,31] x_0 >= 1.0916 ) and eventually[33,36] ( x_1 <= -0.3519 ) ) ) )"
7,"( not ( ( not ( x_2 <= -0.1076 ) until[0,17] ( x_2 <= -1.046 and x_1 >= -0.3342 ) ) ) until[34,36] ( not ( ( x_3 <= -0.3649 and x_2 >= 1.5313 ) ) until[1,10] ( ( x_2 <= 0.8666 until[10,23] x_1 >= 0.9441 ) or always[8,17] ( x_2 <= -0.3697 ) ) ) )"
8,"( ( eventually[20,inf] ( always[14,inf] ( x_3 <= 1.6078 ) ) or eventually[15,32] ( not ( x_3 >= -2.5946 ) ) ) or ( ( not ( x_3 <= -0.5951 ) and always[22,28] ( x_3 >= 2.2205 ) ) until[16,32] ( always[21,27] ( x_2 >= -1.3048 ) or eventually[9,13] ( x_3 <= 0.737 ) ) ) )"
9,"( ( ( ( x_3 <= -1.8154 and x_0 <= -0.8806 ) until[27,36] always ( x_1 <= 0.2667 ) ) or always[1,inf] ( not ( x_1 >= -0.3056 ) ) ) or ( eventually[33,35] ( ( x_3 >= -0.9729 and x_2 <= 0.5167 ) ) or ( not ( x_0 <= 0.8539 ) or ( x_0 <= -0.2162 and x_0 >= -1.2824 ) ) ) )"
10,"( eventually[9,inf] ( not ( always[2,7] ( x_0 >= 1.0639 ) ) ) and ( ( ( x_1 <= -0.0905 until[13,16] x_2 <= -1.022 ) and ( x_3 <= 0.8941 and x_1 >= -1.2062 ) ) or always ( ( x_0 <= 0.9768 and x_0 >= 1.8714 ) ) ) )"
11,"not ( always[4,34] ( ( ( x_0 >= -0.7798 until[24,29] x_2 <= -0.543 ) until[3,23] ( x_0 >= 1.2116 or x_1 <= 0.1825 ) ) ) )"
12,"( always[16,22] ( ( ( x_3 <= 0.5295 and x_2 <= -0.1959 ) or ( x_2 >= -0.4465 or x_0 <= 0.4607 ) ) ) or ( always[27,31] ( ( x_2 >= 0.4551 until[20,inf] x_1 >= 0.0997 ) ) and not ( ( x_0 <= 1.2289 and x_1 >= -0.5275 ) ) ) )"
13,"not ( eventually ( ( not ( x_1 <= -0.5883 ) or eventually[19,27] ( x_2 >= 0.6996 ) ) ) )"
14,"eventually[27,33] ( not ( ( ( x_0 >= -0.4602 and x_0 <= -0.7028 ) or eventually[11,32] ( x_1 >= -0.9879 ) ) ) )"
15,"eventually[6,17] ( ( not ( ( x_1 <= -0.3976 and x_2 >= -0.2143 ) ) and always[7,inf] ( not ( x_0 >= 0.7587 ) ) ) )"
16,"( ( eventually[8,11] ( always[13,15] ( x_3 <= -0.7206 ) ) and ( ( x_3 >= -0.0547 or x_1 >= 1.4995 ) and not ( x_3 <= -1.6756 ) ) ) until[24,36] always[11,20] ( not ( ( x_3 <= 0.7807 or x_2 <= 0.7038 ) ) ) )"
17,"eventually[9,29] ( always[12,16] ( eventually[19,23] ( not ( x_1 <= 1.5645 ) ) ) )"
18,"not ( eventually[34,36] ( eventually[13,18] ( eventually[16,26] ( x_1 >= -0.3918 ) ) ) )"
19,"not ( always[3,32] ( ( eventually[22,31] ( x_2 >= 2.0203 ) until ( x_0 <= 2.4141 until[11,31] x_2 <= -0.7988 ) ) ) )"
20,"( not ( not ( always[34,36] ( x_0 >= 1.0649 ) ) ) or not ( ( eventually[31,34] ( x_1 >= -0.8372 ) or ( x_1 <= 0.9614 until[1,13] x_3 >= -1.4823 ) ) ) )"
21,"( ( not ( always[26,33] ( x_0 <= -0.0596 ) ) and eventually[23,29] ( always ( x_2 <= 0.8323 ) ) ) and always[31,inf] ( always[26,34] ( ( x_0 >= 0.1114 until[11,20] x_0 <= -0.4887 ) ) ) )"
22,"not ( ( ( ( x_0 >= -1.2502 until[22,29] x_2 >= -0.176 ) or ( x_3 >= 1.6306 or x_2 >= 0.9988 ) ) until not ( ( x_3 <= 0.6509 or x_3 <= 0.446 ) ) ) )"
23,"( ( always[7,inf] ( ( x_3 >= 1.2588 and x_2 <= -0.233 ) ) and eventually[8,29] ( always[33,35] ( x_2 <= -2.0046 ) ) ) and always[25,27] ( not ( ( x_3 >= -0.1197 until[29,inf] x_0 >= 1.0721 ) ) ) )"
24,"( eventually[24,30] ( not ( ( x_2 >= 0.3247 or x_3 >= -0.4208 ) ) ) or ( ( ( x_1 >= 0.3183 or x_2 <= -1.5328 ) or ( x_1 <= -0.8205 until[0,inf] x_3 >= 1.2173 ) ) or always[5,24] ( eventually[9,22] ( x_1 <= 0.3164 ) ) ) )"
25,"( eventually[5,14] ( ( always[15,18] ( x_1 <= 0.6154 ) and always[2,10] ( x_2 >= 1.2744 ) ) ) or eventually[11,21] ( ( eventually[17,21] ( x_2 <= -0.3982 ) and ( x_1 >= 0.4241 and x_0 <= -1.5298 ) ) ) )"
26,"eventually[24,29] ( ( always[24,36] ( ( x_0 <= 0.7668 and x_2 >= 0.2695 ) ) or always ( ( x_2 >= 0.7051 or x_0 <= 1.604 ) ) ) )"
27,"eventually ( not ( ( eventually[12,27] ( x_3 >= -0.5747 ) and eventually[26,31] ( x_3 >= 0.4498 ) ) ) )"
28,"( ( ( ( x_0 >= -0.6778 until[34,36] x_0 <= -0.7523 ) and not ( x_0 >= 1.9341 ) ) or ( ( x_1 >= 0.7872 and x_2 >= 0.1771 ) and always[26,31] ( x_1 >= -0.6685 ) ) ) or eventually[12,36] ( eventually[14,32] ( ( x_1 >= -0.3857 until[21,25] x_0 <= 0.5827 ) ) ) )"
29,"( ( not ( eventually[1,9] ( x_1 >= -1.9692 ) ) or not ( ( x_1 <= -0.6748 and x_2 >= 0.282 ) ) ) and ( ( not ( x_3 <= 0.2472 ) or not ( x_0 <= 0.3668 ) ) and ( eventually[1,inf] ( x_3 >= 0.8106 ) or eventually[22,33] ( x_3 <= -0.215 ) ) ) )"
30,"not ( ( not ( not ( x_2 >= 0.5416 ) ) until[22,36] always[2,31] ( not ( x_3 >= -1.3193 ) ) ) )"
31,"eventually[24,30] ( ( ( ( x_2 <= 1.682 or x_2 >= 0.9145 ) until[10,15] always[18,28] ( x_2 >= -0.7486 ) ) and ( ( x_3 >= 0.1366 until[5,16] x_1 >= 0.7086 ) and eventually[13,19] ( x_2 >= -1.1972 ) ) ) )"
32,"( eventually[22,32] ( ( always[19,32] ( x_0 <= -0.8474 ) or ( x_0 >= -1.0758 or x_0 >= -0.6511 ) ) ) or eventually ( ( not ( x_1 <= 0.0972 ) and eventually[22,34] ( x_0 <= 0.5478 ) ) ) )"
33,"eventually[6,inf] ( eventually[18,31] ( ( always[3,11] ( x_0 <= 0.6877 ) or ( x_0 <= -0.0716 or x_3 >= 1.664 ) ) ) )"
34,"always[11,23] ( always[24,30] ( ( always ( x_0 <= 0.6248 ) and ( x_1 >= 0.3497 until[27,inf] x_2 <= -0.0318 ) ) ) )"
35,"always[12,inf] ( always[10,27] ( always[11,21] ( not ( x_1 >= -0.208 ) ) ) )"
36,"eventually[23,31] ( ( ( ( x_0 >= -1.0639 and x_1 >= -0.4748 ) until always[1,7] ( x_1 <= -0.882 ) ) until[31,33] ( ( x_2 >= -0.0494 or x_1 <= 2.0069 ) or ( x_3 >= 1.3227 and x_2 >= -0.7781 ) ) ) )"
37,"not ( ( not ( not ( x_0 <= 0.4312 ) ) and ( ( x_1 <= 2.6662 or x_0 <= 0.4887 ) until[16,31] eventually[24,30] ( x_1 >= 2.5055 ) ) ) )"
38,"( ( not ( always ( x_0 >= 2.1874 ) ) or ( not ( x_3 >= 0.1373 ) until[14,32] ( x_0 >= 0.4466 and x_3 >= -1.2304 ) ) ) and ( not ( always ( x_0 <= 0.5222 ) ) until[29,35] eventually[6,28] ( ( x_1 >= 0.0102 or x_2 <= 1.8345 ) ) ) )"
39,"not ( always[33,inf] ( not ( not ( x_0 <= 0.9207 ) ) ) )"
40,"eventually[24,36] ( not ( always[13,23] ( not ( x_1 >= -0.6022 ) ) ) )"
41,"( ( ( ( x_1 >= -0.7856 until[19,23] x_0 <= -0.8419 ) and ( x_0 <= -0.2817 and x_2 <= 1.7946 ) ) and always[31,34] ( eventually[9,inf] ( x_3 <= 1.7279 ) ) ) or ( always ( always[18,33] ( x_0 >= -0.9228 ) ) and not ( always[5,31] ( x_2 <= -0.6985 ) ) ) )"
42,"always ( ( always[8,28] ( always[33,36] ( x_1 <= -0.0153 ) ) and ( always[4,14] ( x_2 >= -0.3271 ) or ( x_0 <= -0.2202 until x_2 >= 0.9684 ) ) ) )"
43,"always[25,35] ( eventually[9,inf] ( ( eventually[19,21] ( x_0 >= 0.4634 ) or not ( x_3 <= 1.9872 ) ) ) )"
44,"( not ( always[15,23] ( ( x_3 >= -0.7225 or x_1 <= 1.0078 ) ) ) until[0,inf] ( ( ( x_2 >= -0.5756 or x_3 >= 1.719 ) until[20,35] always[12,32] ( x_0 >= -0.0024 ) ) or eventually[21,28] ( not ( x_0 >= -0.3841 ) ) ) )"
45,"( not ( ( ( x_3 >= 0.4334 until[18,21] x_0 >= -1.5847 ) or ( x_2 >= 1.1178 and x_3 >= -0.1279 ) ) ) and not ( ( eventually[9,15] ( x_3 >= -1.6625 ) until[4,22] ( x_0 >= 0.3107 until[26,31] x_0 >= -1.8063 ) ) ) )"
46,"( ( not ( eventually[8,15] ( x_1 >= -0.3561 ) ) or always[26,inf] ( ( x_0 <= 2.9098 or x_1 >= 0.4052 ) ) ) or ( ( ( x_2 <= -1.505 or x_3 >= -0.131 ) until[34,36] not ( x_1 <= 0.4713 ) ) until[8,27] ( eventually[13,33] ( x_2 >= -0.3097 ) and ( x_1 <= -2.117 until[25,32] x_0 <= -1.3727 ) ) ) )"
47,"always[7,32] ( always[26,36] ( ( ( x_3 <= -1.0322 and x_2 >= 0.4321 ) or not ( x_0 <= -0.4044 ) ) ) )"
