,step_1000,step_2000,step_3000,step_4000,step_5000,gold formula,step_6000,step_8000,step_9000,step_11000,step_12000,step_13000
0,( ( ( ( ( ( ( ( x_0 x_0 x_ x_ x_ x_ x_ x_ x_ ) x_ ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) )padpadpadpadpadpadpadpadpad ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) )padpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpad ) )padpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpad,( ( ( ( x_0 <= 0.108 ),( x_0 <= 0.114 or x_0 <= 0.077 ),( x_0 <= 1.1919 or x_0 <= 0.119 ),( x_0 <= 1.1888 or x_0 <= 0.188 ),( x_0 <= 1.4633 or x_0 <= 0.5746 ),( x_0 <= 1.0664 or x_0 <= 1.0064 ),( x_0 <= 1.1515 or x_0 <= 1.1111 ),( x_0 <= 1.0067 or x_0 <= -0.8999 ),not ( x_0 >= 1.0699 ),( x_0 <= 1.044 or x_0 <= -0.9444 ),( x_0 <= 1.415 or x_0 <= 1.457 )
1,( ( ( ( ( ( ( ( x_0 x_0 x_ x_ x_ >= x_ x_ x_ x_ x_ x_ ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) x_ ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) )padpadpadpadpadpadpadpad ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) )padpadpadpadpadpadpadpad ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) )padpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpad,( ( ( ( ( x_0 >= 0.188 ),"( ( x_0 >= 0.111 until[1,35] x_0 >= 0.224 ) and ( x_0 >= 0.024 and x_0 >= 0.044 ) and ( x_0 >= 0.004 and x_0 >= 0.044 ) )","( x_0 >= 1.119 until[2,36] x_0 >= 1.111 )",( x_0 >= 1.1877 and x_0 >= 1.187 ),"eventually[14,21] ( x_0 >= 1.7708 )","( x_0 >= 1.0064 until[2,17] x_0 >= 1.0064 )","( x_0 >= 1.0115 until[15,20] x_0 >= 1.0111 )","( x_0 >= -1.0003 until[13,27] x_0 >= 1.0093 )","( x_0 >= 1.0336 until[16,29] x_0 >= -0.9993 )","( x_0 >= 1.4444 until[2,10] x_0 >= -0.0044 )","( x_0 >= 1.555 until[25,35] x_0 >= 1.511 )"
2,( ( ( ( ( ( ( ( x_0 x_0 x_ x_ x_ x_ x_,( ( ( ( x_0 <= 0.108 ),( x_0 <= 0.114 or x_0 <= 0.077 ),( x_0 <= 1.1919 or x_0 <= 0.119 ),( x_0 <= 1.1888 or x_0 <= 0.188 ),not ( x_0 >= 1.3914 ),( x_0 <= 1.0664 or x_0 <= 1.0064 ),( x_0 <= 1.1515 or x_0 <= 1.1511 ),( x_0 <= 1.0067 or x_0 <= -0.8999 ),not ( x_0 >= 1.0699 ),( x_0 <= 1.054 or x_0 <= -0.9444 ),( x_0 <= 1.415 or x_0 <= 1.457 )
3,( ( ( ( ( ( ( ( x_0 x_0 x_ x_ x_ x_,( ( ( ( x_0 <= 0.108 ),( x_0 <= 0.005 or x_0 <= 0.002 ),"( ( x_0 <= -0.019 or x_0 <= 0.019 ) or ( x_0 <= -0.011 until[1,36] x_0 <= 0.015 ) )","always[2,16] ( always[28,36] ( x_0 <= -0.088 ) )","always[8,inf] ( x_0 <= 0.288 )","always[22,26] ( ( ( x_0 >= 0.0004 or x_0 >= -0.0034 ) or ( x_0 >= -0.0034 or x_0 >= -0.0034 ) ) until[20,33] ( ( x_0 >= -0.0034 or x_0 >= -0.0036 ) or ( x_0 >= -0.0036 or x_0 >= -0.0036 ) ) ) )","always[21,25] ( always[2,25] ( always[15,29] ( ( x_0 <= 0.1111 or x_0 <= 0.1111 ) ) ) )","always[22,inf] ( x_0 <= 0.2299 )","always[29,31] ( always[16,29] ( x_0 <= -0.1226 ) )","always[25,34] ( always[2,inf] ( x_0 <= 0.254 ) )","always[25,35] ( always[1,inf] ( x_0 <= 0.2225 ) )"
4,( ( ( ( ( ( ( ( x_0 x_0 x_ x_ x_ x_,( ( x_0 <= 0.008 or x_0 <= 0.088 ),( x_0 <= 0.001 or x_0 <= 0.077 ),( x_0 <= 0.1999 or x_0 <= 0.119 ),"always[2,16] ( x_0 <= 0.188 )","always[18,33] ( x_0 <= 0.956 )",( x_0 <= 0.6664 or x_0 <= 0.0664 ),"always[1,15] ( x_0 <= 1.1115 )","eventually[16,29] ( x_0 <= 0.9997 )","always[16,29] ( x_0 <= 1.0296 )","eventually[25,33] ( x_0 <= 0.994 )","eventually[15,22] ( x_0 <= 0.8895 )"
5,( ( ( ( ( ( ( ( ( ( ( ( x_ x_ x_ x_. x_ x_ x_ x_ x_ x_ x_ x_ x_ x_ x_ x_ x_ x_ x_ x_ x_ ) ) ) ) ) x_.... ) ) ) ) ) x_ x_ x_ x_ x_ x_ ) x_ x_ x_ ) ) ) ) ) ) ) ) ) ) x_ x_ ) ) x_ x_ ) ) ) ) ) ) ) ) x_ ) ) ) ) x_ x_ ) ) x_ ) x_ x_ x_... ) ) ) ) ) ) ) x_ ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) x_ x_ ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) )padpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpad ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) )padpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpad,( ( ( ( ( ( ( ( x_0 <= -0.088 ) ),( ( ( ( x_0 <= 0.008 or x_0 <= 0.008 ) or ( x_0 <= -0.004 or x_0 >= 0.004 ) or ( x_0 <= 0.004 or x_0 >= 0.004 ) ) or ( ( x_0 >= 0.004 or x_0 >= -0.004 ) or ( x_0 >= 0.004 or x_0 >= 0.004 ) ) or ( ( x_0 <= 0.004 or x_0 >= 0.004 ) or ( x_0 <= 0.004 or x_0 >= 0.004 ) ) ) ),"( ( ( ( x_0 >= -0.0199 and x_0 >= -0.001 ) until[1,inf] ( x_0 >= -0.011 and x_0 >= -0.0155 ) ) or ( ( x_0 >= -0.0155 and x_0 >= -0.0055 ) and ( x_0 >= -0.0054 and x_0 >= -0.005 ) ) ) or ( ( ( x_0 <= -0.005 and x_0 >= -0.005 ) and ( x_0 >= -0.005 and x_0 >= -0.035 ) ) and ( ( x_0 <= -0.035 and x_0 >= -0.035 ) and ( x_0 >= -0.034 and x_0 >= -0.035 ) ) ) )","( ( x_0 >= -0.1888 and x_0 >= -0.188 ) until[2,36] ( x_0 >= -0.188 or x_0 >= -0.188 ) )",( x_0 >= -0.6341 and x_0 <= 0.7004 ),( x_0 >= -0.0064 and x_0 >= 0.0064 ),( x_0 <= -0.5111 and x_0 <= 0.5111 ),( x_0 <= -0.6993 and x_0 >= 0.6993 ),( x_0 <= -0.6666 and x_0 >= 0.6666 ),( x_0 <= -0.654 and x_0 <= 0.654 ),"( x_0 >= -0.555 until[1,12] x_0 >= 0.588 )"
6,( ( ( >= - ( x_0 x_0 x_0 >= x_,( ( x_0 >= -0.008 ),( x_0 >= -0.0011 or x_0 >= 0.002 ),( x_0 >= -0.0319 or x_0 >= -0.011 ),( x_0 >= -0.0887 or x_0 >= -0.0883 ),not ( x_0 <= -0.0046 ),( x_0 >= 0.0004 or x_0 >= -0.0004 ),not ( ( x_0 <= 0.1111 or x_0 <= -0.1111 ) ),( x_0 >= -0.2264 or x_0 >= 0.2266 ),( x_0 >= -0.0226 or x_0 >= -0.2226 ),"( x_0 >= -0.055 until[1,15] x_0 >= -0.054 )","( x_0 >= -0.055 until[1,15] x_0 >= -0.058 )"
7,( ( ( <= ( ( x_0 x_0 x_0 x_ x_,( ( x_0 <= 0.008 ),( x_0 <= 0.004 or x_0 <= 0.002 ),( x_0 <= 0.0319 or x_0 <= 0.001 ),( x_0 <= -0.0888 or x_0 <= 0.088 ),not ( x_0 >= 0.1714 ),( x_0 <= 0.0064 or x_0 <= 0.0004 ),( x_0 <= 0.1111 or x_0 <= 0.1111 ),( x_0 <= 0.2229 or x_0 <= 0.2299 ),( x_0 <= -0.0266 and x_0 <= 0.2666 ),( x_0 <= 0.055 or x_0 <= -0.055 ),( x_0 <= 0.155 or x_0 <= 0.255 )
8,( ( ( ( ( ( ( ( x_0 x_0 x_ x_ x_ x_ x_ x_ x_ ) x_ ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) )padpadpadpadpadpadpadpadpad ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) )padpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpad ) )padpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpad,( ( ( ( ( x_0 <= 0.088 ),( x_0 <= 0.114 or x_0 <= 0.077 ),( x_0 <= 1.1919 or x_0 <= 0.119 ),( x_0 <= 1.1888 or x_0 <= 0.188 ),not ( x_0 >= 1.5358 ),( x_0 <= 1.0664 or x_0 <= 1.0064 ),( x_0 <= 1.1515 or x_0 <= 1.1111 ),( x_0 <= 1.0067 or x_0 <= -0.8999 ),not ( x_0 >= 1.2966 ),( x_0 <= 1.044 or x_0 <= -0.9444 ),( x_0 <= 1.515 or x_0 <= 1.457 )
9,( ( ( <= ( ( x_0 x_0 x_0 x_ x_,( ( x_0 <= 0.008 ),( x_0 <= 0.004 or x_0 <= 0.002 ),( x_0 <= -0.0119 or x_0 <= 0.0119 ),( x_0 <= -0.0888 or x_0 <= 0.088 ),( x_0 <= -0.7917 or x_0 <= 0.0925 ),( x_0 <= 0.0064 and x_0 <= 0.0004 ),"( x_0 <= 0.1111 until[15,24] x_0 <= -0.1111 )",( x_0 <= 0.2229 or x_0 <= -0.2229 ),( x_0 <= -0.0226 and x_0 <= -0.1666 ),( x_0 <= -0.055 or x_0 <= 0.055 ),( x_0 <= -0.155 or x_0 <= 0.255 )
