step_1000,step_2000,step_3000,step_4000,step_5000,gold formula
( ( ( ( ( ( ( ( x_0 x_0 x_ x_ x_ x_ x_ x_ x_ ) x_ ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) )padpadpadpadpadpadpadpadpad ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) )padpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpad ) )padpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpad,( ( ( ( x_0 <= 0.108 ),( x_0 <= 0.114 or x_0 <= 0.077 ),( x_0 <= 1.1919 or x_0 <= 0.119 ),( x_0 <= 1.1888 or x_0 <= 0.188 ),( x_0 <= 1.4633 or x_0 <= 0.5746 )
( ( ( ( ( ( ( ( x_0 x_0 x_ x_ x_ >= x_ x_ x_ x_ x_ x_ ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) x_ ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) )padpadpadpadpadpadpadpad ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) )padpadpadpadpadpadpadpad ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) )padpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpad,( ( ( ( ( x_0 >= 0.188 ),"( ( x_0 >= 0.111 until[1,35] x_0 >= 0.224 ) and ( x_0 >= 0.024 and x_0 >= 0.044 ) and ( x_0 >= 0.004 and x_0 >= 0.044 ) )","( x_0 >= 1.119 until[2,36] x_0 >= 1.111 )",( x_0 >= 1.1877 and x_0 >= 1.187 ),"eventually[14,21] ( x_0 >= 1.7708 )"
( ( ( ( ( ( ( ( x_0 x_0 x_ x_ x_ x_ x_,( ( ( ( x_0 <= 0.108 ),( x_0 <= 0.114 or x_0 <= 0.077 ),( x_0 <= 1.1919 or x_0 <= 0.119 ),( x_0 <= 1.1888 or x_0 <= 0.188 ),not ( x_0 >= 1.3914 )
( ( ( ( ( ( ( ( x_0 x_0 x_ x_ x_ x_,( ( ( ( x_0 <= 0.108 ),( x_0 <= 0.005 or x_0 <= 0.002 ),"( ( x_0 <= -0.019 or x_0 <= 0.019 ) or ( x_0 <= -0.011 until[1,36] x_0 <= 0.015 ) )","always[2,16] ( always[28,36] ( x_0 <= -0.088 ) )","always[8,inf] ( x_0 <= 0.288 )"
( ( ( ( ( ( ( ( x_0 x_0 x_ x_ x_ x_,( ( x_0 <= 0.008 or x_0 <= 0.088 ),( x_0 <= 0.001 or x_0 <= 0.077 ),( x_0 <= 0.1999 or x_0 <= 0.119 ),"always[2,16] ( x_0 <= 0.188 )","always[18,33] ( x_0 <= 0.956 )"
( ( ( ( ( ( ( ( ( ( ( ( x_ x_ x_ x_. x_ x_ x_ x_ x_ x_ x_ x_ x_ x_ x_ x_ x_ x_ x_ x_ x_ ) ) ) ) ) x_.... ) ) ) ) ) x_ x_ x_ x_ x_ x_ ) x_ x_ x_ ) ) ) ) ) ) ) ) ) ) x_ x_ ) ) x_ x_ ) ) ) ) ) ) ) ) x_ ) ) ) ) x_ x_ ) ) x_ ) x_ x_ x_... ) ) ) ) ) ) ) x_ ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) x_ x_ ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) )padpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpad ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) )padpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpad,( ( ( ( ( ( ( ( x_0 <= -0.088 ) ),( ( ( ( x_0 <= 0.008 or x_0 <= 0.008 ) or ( x_0 <= -0.004 or x_0 >= 0.004 ) or ( x_0 <= 0.004 or x_0 >= 0.004 ) ) or ( ( x_0 >= 0.004 or x_0 >= -0.004 ) or ( x_0 >= 0.004 or x_0 >= 0.004 ) ) or ( ( x_0 <= 0.004 or x_0 >= 0.004 ) or ( x_0 <= 0.004 or x_0 >= 0.004 ) ) ) ),"( ( ( ( x_0 >= -0.0199 and x_0 >= -0.001 ) until[1,inf] ( x_0 >= -0.011 and x_0 >= -0.0155 ) ) or ( ( x_0 >= -0.0155 and x_0 >= -0.0055 ) and ( x_0 >= -0.0054 and x_0 >= -0.005 ) ) ) or ( ( ( x_0 <= -0.005 and x_0 >= -0.005 ) and ( x_0 >= -0.005 and x_0 >= -0.035 ) ) and ( ( x_0 <= -0.035 and x_0 >= -0.035 ) and ( x_0 >= -0.034 and x_0 >= -0.035 ) ) ) )","( ( x_0 >= -0.1888 and x_0 >= -0.188 ) until[2,36] ( x_0 >= -0.188 or x_0 >= -0.188 ) )",( x_0 >= -0.6341 and x_0 <= 0.7004 )
( ( ( >= - ( x_0 x_0 x_0 >= x_,( ( x_0 >= -0.008 ),( x_0 >= -0.0011 or x_0 >= 0.002 ),( x_0 >= -0.0319 or x_0 >= -0.011 ),( x_0 >= -0.0887 or x_0 >= -0.0883 ),not ( x_0 <= -0.0046 )
( ( ( <= ( ( x_0 x_0 x_0 x_ x_,( ( x_0 <= 0.008 ),( x_0 <= 0.004 or x_0 <= 0.002 ),( x_0 <= 0.0319 or x_0 <= 0.001 ),( x_0 <= -0.0888 or x_0 <= 0.088 ),not ( x_0 >= 0.1714 )
( ( ( ( ( ( ( ( x_0 x_0 x_ x_ x_ x_ x_ x_ x_ ) x_ ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) )padpadpadpadpadpadpadpadpad ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) )padpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpad ) )padpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpad,( ( ( ( ( x_0 <= 0.088 ),( x_0 <= 0.114 or x_0 <= 0.077 ),( x_0 <= 1.1919 or x_0 <= 0.119 ),( x_0 <= 1.1888 or x_0 <= 0.188 ),not ( x_0 >= 1.5358 )
( ( ( <= ( ( x_0 x_0 x_0 x_ x_,( ( x_0 <= 0.008 ),( x_0 <= 0.004 or x_0 <= 0.002 ),( x_0 <= -0.0119 or x_0 <= 0.0119 ),( x_0 <= -0.0888 or x_0 <= 0.088 ),( x_0 <= -0.7917 or x_0 <= 0.0925 )
