0,1,2,3,gold formula
"( x_0 <= 1.233 until[15,23] x_0 <= 1.083 )","eventually[10,19] ( x_0 <= 1.1455 )",x_0<= 1.2177orx_0<= 0.399),"always[2,10] ( x_0 <= 1.2364 )","always[0,21] ( x_0 <= 1.2 )"
( x_0 <= -0.4433 or x_0 <= 3.3131 ),( x_0 <= -0.3315 or x_0 <= 3.3995 ),"(((x_0<= 0.0031orx_0<= 0.0337)and(x_0<= 0.0331orx_0<= 0.0337))or((x_0<= 0.0331orx_0<= 0.0397)and(x_0<= 0.0331andx_0<= 0.0397)))until[10,12](((x_0<= 0.0331orx_0<= 0.0397)or(x_0<= 0.0337orx_0<= 0.0397))or((x_0<= 0.0391orx_0<= 0.0397)or(x_0<= 0.0331orx_0<= 0.039))))",( x_0 <= -0.3629 or x_0 <= 3.6329 ),"always[0,11] ( x_0 <= 4.7 )"
"( x_0 >= -0.033 until[15,23] x_0 >= -0.034 )","( x_0 >= -0.0525 until[21,24] x_0 >= -0.0525 )","x_0>=-0.0037until[10,26]x_0>=-0.003)","eventually[1,18] ( x_0 >= -0.0922 )","always[0,2] ( ( ( x_0 >= 0 or eventually[0,11] ( x_0 >= 0 ) ) or eventually[0,31] ( always[0,26] ( x_0 >= 0 ) ) ) )"
"( ( x_1 >= 0.033 or x_1 >= 0.036 ) until[15,23] ( x_1 >= -0.0362 or x_1 >= -0.036 ) )","( ( x_1 >= -0.0555 or x_1 >= -0.0555 ) until[21,24] ( x_1 >= 0.0555 or x_1 >= -0.0555 ) )","(x_1>= 0.0366orx_1>= 0.0367)oreventually[16,26](x_1>=-0.0388))","eventually[10,18] ( x_1 >= -0.0222 )","always[0,2] ( ( ( x_1 >= 0 or eventually[0,11] ( x_1 >= 0 ) ) or eventually[0,31] ( always[0,26] ( x_1 >= 0 ) ) ) )"
"( ( ( x_2 >= -0.033 or x_2 >= 0.033 ) or ( x_2 >= 0.133 or x_2 >= 0.1332 ) ) until[1,28] ( ( x_2 >= -0.1332 or x_2 >= 0.134 ) or ( x_2 >= 0.134 or x_2 >= 0.164 ) ) )","( ( ( ( x_2 >= -0.0515 or x_2 >= -0.1555 ) until[1,15] ( x_2 >= -0.1155 and x_2 >= -0.1555 ) ) or ( ( x_2 >= -0.1555 until[15,25] x_2 >= -0.1555 ) until[11,21] ( x_2 >= -0.1555 or x_2 >= -0.1555 ) ) ) or ( ( ( x_2 >= -0.1555 until[15,24] x_2 >= -0.1555 ) or ( x_2 >= -0.1555 until[25,33] x_2 >= -0.1555 ) ) and ( ( x_2 >= -0.1555 until[25,30] x_2 >= -0.1555 ) and ( x_2 >= -0.1555 until[20,29] x_2 >= -0.0555 ) ) ) )","((x_2>=-0.0331orx_2>=-0.0363)and(x_2>=-0.0367orx_2>=-0.0399))or((x_2>= 0.0367until[12,29]x_2>=-0.0386)and(x_2>=-0.0367until[12,29]x_2>=-0.0388)))","eventually[11,18] ( x_2 >= -0.0109 )","always[0,2] ( ( ( x_2 >= 0 or eventually[0,11] ( x_2 >= 0 ) ) or eventually[0,31] ( always[0,26] ( x_2 >= 0 ) ) ) )"
( ( x_1 <= -0.1311 or x_1 <= -0.0311 ) or ( x_1 <= -0.1311 or x_1 <= 2.931 ) ),( ( x_1 <= 2.7115 or x_1 <= -0.1115 ) or ( x_1 <= -0.1515 or x_1 <= 0.1515 ) ),"(((x_1<= 0.0331orx_1<= 0.0337)and(x_1<= 0.0331orx_0<= 0.033))or((x_0>= 0.0331andx_0>= 0.0337)and(x_0>= 0.0331andx_0>= 0.0397)))until[12,22](((x_1<= 0.0331orx_1<= 0.0337)or(x_0>= 0.0331orx_0>= 0.0397))or((x_0>= 0.0331orx_0>= 0.0393)and(x_0>= 0.0331orx_0>= 0.039))))",( x_1 <= 0.1629 or x_1 <= 3.6222 ),"( not ( always[0,31] ( x_0 <= 1.3 ) ) or always[0,41] ( x_1 <= 3.5 ) )"
"( ( ( ( x_1 <= -0.1311 or x_1 >= -0.0311 ) or ( x_1 <= -0.1311 or x_1 <= -0.0331 ) ) or ( ( x_1 <= -0.1311 or x_1 <= -0.0331 ) or ( x_1 <= -0.1331 until[2,24] x_1 <= -0.3331 ) ) ) until[1,inf] ( ( ( x_1 <= -0.1331 or x_1 <= -0.3331 ) or ( x_1 <= -0.1331 or x_1 <= -0.0333 ) ) or ( ( x_1 <= -0.1331 or x_1 <= -0.0333 ) or ( x_2 <= -0.1332 or x_2 >= -0.3333 ) ) ) )",( ( x_0 <= -0.3055 or x_1 <= 3.1095 ) or ( x_1 <= -0.3115 or x_1 <= -0.3515 ) ),"(((x_1<= 0.0331orx_0<= 0.0337)and(x_0<= 0.0331orx_0<= 0.0337))or((x_0>= 0.0331andx_0>= 0.0337)and(x_0>= 0.0331andx_0>= 0.0397)))until[12,23](((x_0>= 0.0331orx_0>= 0.0397)or(x_0>= 0.0331orx_0>= 0.0397))or((x_0>= 0.0331orx_0>= 0.0393)or(x_2<= 0.0331orx_0>= 0.039))))",( x_1 <= 0.3629 or x_1 <= 0.3629 ),"( not ( always[0,31] ( x_0 <= 1.3 ) ) or always[0,81] ( x_1 <= 5 ) )"
"( ( ( ( x_1 >= -0.1311 or x_1 >= -0.0311 ) or ( x_0 <= -0.1331 or x_0 <= -0.333 ) ) or ( ( x_1 >= -0.1331 or x_1 >= -0.3333 ) or ( x_1 >= -0.3331 or x_1 >= -0.3331 ) ) ) until[1,inf] ( ( ( x_1 >= -0.3331 or x_1 <= -0.3331 ) or ( x_1 >= -0.3331 or x_1 <= -0.3333 ) ) or ( ( x_1 >= -0.3331 or x_1 <= -0.3333 ) or ( x_2 >= -0.3332 or x_2 >= -0.3333 ) ) ) )",( ( x_0 <= -0.3055 or x_0 <= -0.3535 ) or ( x_0 <= -0.3055 or x_0 <= 3.1096 ) ),"(((x_0<= 0.0031orx_0>= 0.0337)and(x_0<= 0.0331orx_0>= 0.0337))or((x_0>= 0.0331andx_0>= 0.0337)and(x_0>= 0.0331andx_0>= 0.0397)))until[12,23](((x_0>= 0.0331orx_0>= 0.0397)or(x_0>= 0.0331orx_0>= 0.0393))or((x_0>= 0.0331orx_0>= 0.0393)or(x_2<= 0.0331orx_2>= 0.033))))",( x_1 <= 0.1199 or x_1 <= 0.3629 ),"( not ( always[0,31] ( x_0 <= 1.3 ) ) or always[0,21] ( x_1 <= 6.5 ) )"
"( ( ( ( x_1 <= -0.1111 or x_1 <= -0.0311 ) or ( x_1 <= -0.1311 or x_1 <= -0.0331 ) ) or ( ( x_1 <= -0.1311 or x_1 <= -0.1331 ) or ( x_1 <= -0.1331 until[2,24] x_1 <= -0.3331 ) ) ) until[1,inf] ( ( ( x_1 <= -0.1331 or x_1 <= -0.1331 ) or ( x_1 <= -0.1331 or x_1 <= -0.0333 ) ) or ( ( x_1 <= -0.1331 or x_1 <= -0.0332 ) or ( x_1 <= -0.1331 or x_2 <= -0.0333 ) ) ) )","( ( x_0 <= -0.0055 or x_1 <= 2.9115 ) or always[2,20] ( x_1 <= -0.1115 ) )","(((x_1<= 0.0331orx_0<= 0.0337)and(x_1<= 0.0331orx_0<= 0.0337))or((x_0>= 0.0331andx_0>= 0.0337)and(x_0>= 0.0331andx_0>= 0.0397)))until[12,22](((x_1<= 0.0331orx_0>= 0.0397)or(x_0>= 0.0331orx_0>= 0.0397))or((x_0>= 0.0331orx_0>= 0.0393)or(x_0>= 0.0331orx_0>= 0.039))))",( x_1 <= 0.1629 or x_1 <= 3.6222 ),"always[11,51] ( ( not ( ( x_0 >= 8.8 or x_1 >= 4 ) ) or always[1,6] ( x_2 <= 0.8 ) ) )"
not ( ( ( x_2 >= 0.653 or x_2 >= 0.653 ) and ( x_2 >= 0.653 or x_2 >= -0.153 ) ) ),"not ( ( ( ( x_2 >= -0.1555 or x_2 >= -0.1555 ) and ( x_2 >= -0.1555 until[1,15] x_2 >= -0.1555 ) ) or ( ( x_2 >= 0.6555 until[1,15] x_2 >= -0.5555 ) until[1,15] ( x_2 >= -0.5555 or x_2 >= -0.5555 ) ) ) )",((x_2<= 0.5377orx_2<= 0.5997)and(x_2<= 0.5977orx_2<= 0.699))or((x_2<= 0.5977andx_2<= 0.699)and(x_2<= 0.6977andx_2<= 0.699))),"( x_2 <= 0.6229 or ( x_2 <= 0.6223 until[16,20] x_2 <= 0.2923 ) )","always[1,6] ( x_2 <= 0.7 )"
"( x_0 >= -0.1111 until[29,34] x_0 >= 2.733 )","( x_0 >= 2.7115 until[15,20] x_0 <= -0.0095 )","x_0>= 2.7377until[19,29]x_0>= 0.069)","( x_0 >= 2.6224 until[16,20] x_1 <= -0.1129 )","( eventually[0,11] ( x_0 >= 3.2 ) and ( eventually[10,16] ( always[0,6] ( ( x_0 >= 1.75 and x_0 <= 2.25 ) ) ) and always[20,31] ( ( x_0 >= 1.8 and x_0 <= 2.17 ) ) ) )"
( x_0 <= -0.4413 or x_0 <= 3.0311 ),"( ( x_0 <= 2.9115 or x_1 <= -0.1115 ) or always[25,30] ( x_0 <= 0.1095 ) )","(((x_0<= 0.0031orx_0<= 0.0337)and(x_0<= 0.0337orx_0<= 0.0397))or((x_0<= 0.0331orx_0<= 0.0397)and(x_0<= 0.0331andx_0<= 0.0397)))until[23,30](((x_0<= 0.0331orx_0<= 0.0397)or(x_0<= 0.0337orx_0<= 0.0397))or((x_0<= 0.0391orx_0<= 0.0397)and(x_0<= 0.0331orx_0<= 0.039))))",( x_0 <= -0.3629 or x_0 <= 3.6229 ),always ( x_0 <= 4 )
"always[29,35] ( ( x_0 >= 1.4731 until[15,23] x_1 >= -0.0531 ) )","always[25,35] ( ( x_0 >= 1.4115 until[15,23] x_1 <= 0.0515 ) )","(((x_2>=-0.0016andx_0>= 0.0006)and(x_0>= 0.0067orx_0>= 0.0006))or((x_0>= 0.0061andx_0>= 0.0067)and(x_0>= 0.0061andx_0>= 0.0007)))until[25,31](((x_0>= 0.0611orx_0>= 0.0097)or(x_0>= 0.0611andx_0>= 0.0097))oreventually[10,19]((x_0>= 0.0611orx_0>= 1.5197))))","eventually[19,21] ( eventually[16,21] ( x_0 >= 1.5922 ) )","always[0,51] ( eventually[0,31] ( x_0 >= 1.5 ) )"
"always[14,27] ( x_0 <= 2.031 )","eventually[25,35] ( x_0 <= 1.9915 )","(((x_0<= 0.0331andx_0<= 0.0397)and(x_0<= 0.0337orx_0<= 0.0397))until[15,27]((x_0<= 0.0331orx_0<= 0.0397)or(x_0<= 0.0337orx_0<= 0.0397)))or(((x_0<= 0.0331orx_0<= 0.0997)and(x_0<= 0.3937orx_0<= 0.3997))until[23,36]((x_0<= 0.3991orx_0<= 0.3997)or(x_0<= 0.3997orx_0<= 0.3997))))","always[16,18] ( x_0 <= 1.9222 )","always[0,31] ( ( always[0,21] ( x_0 <= 2 ) or eventually[0,21] ( x_1 >= 4 ) ) )"
