,Gold Formula,Generated Formula
0,"always[10,inf] ( x_0 >= 0.9475 )","always[19,inf] ( ( x_0 >= 0.9123 until[15,17] x_0 >= 0.9123 ) )"
1,"not ( always[14,19] ( eventually[7,inf] ( x_0 <= -0.7367 ) ) )","always[19,inf] ( x_0 >= -0.7042 )"
2,"( x_2 <= -0.2641 until[6,9] x_1 <= 0.7181 )","( x_2 <= -0.292 until[11,13] x_1 <= 0.7229 )"
3,not ( x_0 <= 0.2762 ),"( x_0 >= 0.282 or ( x_1 <= -0.222 until[18,21] x_0 >= 0.282 ) )"
4,"eventually[6,15] ( x_2 <= 0.54 )","eventually[1,19] ( x_2 <= 0.573 )"
5,"eventually[0,4] ( x_2 <= 1.8247 )","( x_2 <= 1.853 or ( x_1 <= -0.033 until[16,18] x_2 <= 0.2133 ) )"
6,"eventually[1,9] ( ( x_2 >= 0.7231 or x_2 <= 0.7229 ) )","( x_2 <= 0.613 or ( x_2 >= 0.6092 until[16,18] ( x_2 >= 0.613 or ( x_0 >= -0.113 until[1,10] x_2 >= 0.2133 ) ) ) )"
7,"( not ( ( ( eventually[3,inf] ( not ( x_1 <= 0.9504 ) ) until[19,21] ( x_1 <= 0.6022 and x_2 <= 0.055 ) ) or x_2 <= 0.2687 ) ) or ( eventually ( eventually[16,18] ( ( ( ( eventually[1,14] ( x_0 >= 0.0966 ) until[9,14] always[3,17] ( x_2 <= 0.6261 ) ) or x_2 <= 0.1992 ) until[16,20] ( x_2 >= -1.0836 and eventually[10,13] ( eventually[1,inf] ( x_0 >= -0.4595 ) ) ) ) ) ) or x_2 <= -0.5759 ) )",( x_2 >= -0.3339 or x_2 >= -0.2332 )
8,"( not ( x_1 <= -0.3026 ) and ( ( x_0 >= 0.7657 until[12,inf] ( always[13,16] ( ( x_0 >= 0.1174 until[7,21] x_1 <= -0.7933 ) ) or always[17,19] ( x_1 >= -0.078 ) ) ) and x_1 <= -0.778 ) )","( x_1 <= -0.623 until[10,13] ( x_0 >= 0.8222 until[1,16] x_1 <= -0.7222 ) )"
9,not ( not ( x_2 >= -0.6419 ) ),"( x_2 >= -0.622 or ( x_2 >= -0.612 until[11,13] x_2 >= -0.112 ) )"
10,"( not ( always[2,19] ( x_2 <= 0.5551 ) ) until[12,18] x_0 >= 0.3501 )","( x_0 >= 0.119 until[16,20] x_2 >= 0.5522 )"
11,( x_2 >= -0.0528 or x_0 <= -0.177 ),( x_0 <= -0.333 or x_2 >= -0.073 )
12,"eventually[11,inf] ( eventually[6,9] ( x_0 >= -0.6594 ) )","eventually[19,inf] ( x_0 >= -0.6522 )"
13,"always[6,9] ( ( x_0 >= 0.1484 until[18,inf] ( not ( x_1 <= 1.7558 ) and x_1 <= -1.5643 ) ) )","( ( x_1 <= -1.3329 until[16,21] x_1 >= 1.7129 ) until[16,20] x_1 >= -0.9727 )"
14,not ( x_2 <= -1.952 ),"( x_2 >= -1.973 or ( x_2 <= -0.213 until[16,18] x_2 <= -0.2122 ) )"
15,"always[7,inf] ( x_1 <= -0.5897 )","always[19,inf] ( x_1 <= -0.5923 )"
16,"eventually[10,17] ( always[16,20] ( x_1 <= -0.8781 ) )","eventually[19,21] ( eventually[1,19] ( x_1 <= -0.8322 ) )"
17,"( x_0 <= -0.8877 until not ( always[11,18] ( x_2 >= -0.5769 ) ) )","( x_0 <= -0.9327 until[10,19] x_2 <= -0.322 )"
18,"( x_2 >= -0.5018 until[5,21] ( x_0 >= 0.2388 until[8,10] x_0 <= 0.3368 ) )","( ( x_0 >= 0.1923 until[16,21] x_0 >= 0.192 ) and x_2 >= 0.6637 )"
19,( x_0 <= -0.1914 and x_2 <= -0.1577 ),( x_0 <= -0.2633 and x_2 <= -0.1923 )
20,"eventually[7,17] ( x_0 <= -0.2795 )","eventually[10,17] ( x_0 <= -0.2923 )"
