,balanced512_step24000,easysk512_step24000,hardsk512_24000,old512_step24000,gold formula
0,not ( not ( not ( x_2 >= 0.223 ) ) ),not ( ( ( x_2 <= -0.1055 or x_2 <= -0.1055 ) or ( x_2 <= -0.0055 or x_2 <= -0.1525 ) ) ),not ( not ( not ( x_2 <= 0.1891 ) ) ),not ( x_2 <= 0.1223 ),"eventually[3,7] ( x_2 >= 0.1458 )"
1,not ( not ( not ( x_2 <= -0.222 ) ) ),not ( ( ( x_2 >= -0.1055 or x_2 >= -0.1055 ) or ( x_2 >= -0.1055 or x_2 >= -0.1525 ) ) ),not ( not ( not ( x_2 >= 0.1391 ) ) ),not ( x_2 >= -0.0223 ),not ( x_2 >= 0.0301 )
2,not ( ( ( x_2 <= 0.233 or x_2 <= 0.233 ) or ( x_2 <= 0.233 or x_2 <= -0.133 ) ) ),not ( ( ( ( x_2 <= -0.1555 and x_2 <= -0.0055 ) or ( x_2 <= -0.0055 and x_2 <= -0.1005 ) ) or ( ( x_2 <= -0.1525 or x_2 <= -0.1505 ) or ( x_0 <= -0.1555 or x_2 <= -0.1505 ) ) ) ),not ( not ( not ( x_2 <= 0.1891 ) ) ),"eventually[1,13] ( x_2 >= 0.0222 )","eventually[7,13] ( x_2 >= 0.1312 )"
3,not ( ( ( x_2 >= -0.233 or x_2 >= -0.223 ) or ( x_2 >= -0.233 or x_2 >= -0.263 ) ) ),( ( ( x_2 <= -0.2055 or x_2 <= -0.2005 ) or ( x_2 <= -0.0005 or x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 or x_2 <= -0.2005 ) or ( x_0 <= -0.2005 or x_2 <= -0.2005 ) ) ),( ( ( x_2 <= -0.0391 or x_2 <= -0.039 ) or ( x_2 <= -0.0397 and x_2 <= -0.0397 ) ) or ( ( x_0 <= -0.0397 or x_2 <= -0.0397 ) and ( x_0 <= -0.0397 and x_2 <= -0.0397 ) ) ),( x_2 <= -0.1229 or x_0 <= 1.0222 ),"( x_2 <= -0.1971 or ( x_1 >= 0.9058 until[4,inf] always[10,21] ( x_1 <= 0.1712 ) ) )"
4,not ( not ( not ( x_2 <= -0.222 ) ) ),not ( ( ( x_2 >= -0.2055 or x_2 >= -0.2005 ) or ( x_2 >= -0.2005 or x_2 >= -0.2005 ) ) ),not ( not ( not ( x_2 >= -0.2391 ) ) ),not ( x_2 >= -0.2222 ),not ( x_2 >= -0.2279 )
5,not ( ( ( x_2 <= -0.333 or x_2 <= -0.333 ) or ( x_2 <= -0.363 or x_2 <= -0.363 ) ) ),"( ( ( x_2 >= -0.5155 or x_2 >= -0.4055 ) or ( x_2 >= -0.5055 and x_2 >= -0.2005 ) ) or ( ( x_0 <= -0.1555 until[10,22] x_2 >= -0.5005 ) or ( x_0 <= -0.1555 until[12,20] x_2 >= -0.5005 ) ) )",not ( ( ( x_2 <= -0.5667 or x_2 <= -0.5967 ) and ( x_2 <= -0.5697 and x_2 <= -0.5997 ) ) ),"eventually[1,13] ( x_2 >= -0.3222 )","always[14,16] ( x_2 >= -0.3599 )"
6,( ( ( x_2 >= -0.233 or x_2 >= -0.233 ) or ( x_1 >= -0.233 and x_2 >= -0.163 ) ) or ( ( x_1 >= -0.363 and x_2 >= -0.163 ) and ( x_1 >= -0.1632 and x_2 >= -0.1632 ) ) ),"( ( ( ( x_2 <= -0.1055 or x_2 <= -0.0005 ) or ( x_2 <= -0.0055 and x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 and x_2 <= -0.0005 ) and ( x_1 <= -0.0005 and x_2 <= -0.0005 ) ) ) or ( ( ( x_2 <= -0.0005 until[15,25] x_2 <= -0.0005 ) or ( x_2 <= -0.0555 until[22,30] x_2 <= -0.0555 ) ) or ( ( x_1 <= -0.1505 or x_2 <= -0.0505 ) or ( x_1 <= -0.1555 until[12,20] x_2 <= -0.0555 ) ) ) )","( ( ( ( x_2 >= -0.0367 or x_2 >= -0.0367 ) or ( x_2 >= -0.0367 or x_1 >= -0.0367 ) ) or ( ( x_1 >= -0.0967 or x_2 >= -0.0367 ) or ( x_1 >= -0.0367 and x_2 >= -0.0967 ) ) ) or ( ( ( x_1 >= -0.0967 or x_2 >= -0.0967 ) or ( x_1 >= -0.096 and x_2 >= -0.096 ) ) until[10,29] ( ( x_1 >= -0.096 and x_2 >= -0.0967 ) or ( x_0 >= -0.096 and x_2 >= -0.009 ) ) ) )",( x_2 >= -0.2229 or x_1 <= -0.8225 ),"( x_2 >= -0.1318 or always[11,19] ( ( x_1 <= -0.6931 or x_1 <= -2.5727 ) ) )"
7,( ( ( x_2 >= 0.233 or x_2 >= 0.233 ) and ( x_1 >= 0.233 or x_2 >= 0.333 ) ) and ( ( x_1 >= 0.333 or x_2 >= 0.333 ) or ( x_1 >= -0.333 and x_2 >= 0.363 ) ) ),"( ( ( ( x_2 <= -0.1055 or x_2 <= -0.0005 ) or ( x_2 <= -0.1005 or x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.1005 and x_2 <= -0.0005 ) or ( x_2 <= -0.1555 or x_2 <= -0.0005 ) ) ) until[1,10] ( ( ( x_2 >= -0.1505 or x_2 <= -0.0005 ) or ( x_2 <= -0.1555 or x_2 <= -0.1505 ) ) or ( ( x_1 >= -0.1505 or x_2 <= -0.1505 ) or ( x_0 <= -0.1555 or x_2 <= -0.1505 ) ) ) )",( ( ( x_2 >= 0.0031 or x_2 >= 0.0093 ) or ( x_2 >= 0.0097 or x_1 >= -0.0097 ) ) and ( ( x_2 >= 0.0097 and x_1 >= -0.0097 ) and ( x_1 >= -0.0097 and x_2 >= -0.0097 ) ) ),( x_2 >= 0.2223 and x_1 <= 1.0223 ),"( x_2 >= 0.2192 until[15,21] x_1 <= 0.7733 )"
8,( ( ( x_2 <= -0.533 or x_2 <= -0.533 ) and ( x_2 <= -0.533 or x_2 <= -0.626 ) ) and ( ( x_2 <= -0.636 or x_2 <= -0.663 ) or ( x_2 <= -0.663 and x_2 <= -0.666 ) ) ),"( ( ( ( x_2 <= -0.5055 and x_2 <= -0.0005 ) or ( x_2 <= -0.0005 and x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 and x_2 <= -0.0005 ) and ( x_2 <= -0.0005 and x_2 <= -0.0005 ) ) ) until[1,10] ( ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 or x_2 <= -0.0005 ) ) or ( ( x_0 <= -0.2005 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 or x_2 <= -0.0005 ) ) ) )",( ( ( x_2 <= -0.5391 or x_2 <= -0.599 ) or ( x_2 <= -0.5997 and x_2 <= -0.5997 ) ) and ( ( x_0 <= -0.5997 or x_2 <= -0.5997 ) and ( x_0 <= -0.0997 and x_2 <= -0.0997 ) ) ),"eventually[16,19] ( x_2 <= -0.7222 )","( x_0 >= -1.9759 until[13,16] not ( x_2 >= -0.6923 ) )"
9,not ( ( ( x_2 <= -0.733 or x_2 <= -0.733 ) and ( x_2 <= -0.736 or x_2 <= -0.766 ) ) ),"( ( ( ( x_2 <= -0.5155 and x_2 <= -0.5055 ) or ( x_2 <= -0.0055 and x_2 <= -0.0005 ) ) or ( ( x_0 <= -0.0005 and x_2 <= -0.0005 ) until[10,22] ( x_0 <= -0.0555 or x_2 <= -0.0555 ) ) ) or ( ( ( x_0 <= -0.0555 until[20,29] x_2 <= -0.0555 ) or ( x_0 <= -0.0555 until[20,29] x_2 <= -0.0555 ) ) or ( ( x_0 <= -0.0555 until[22,30] x_2 <= -0.0555 ) or ( x_0 <= -0.0555 or x_2 <= -0.0555 ) ) ) )","( ( ( x_2 >= -0.6661 or x_2 >= -0.766 ) or ( x_2 >= -0.7697 or x_2 >= -0.9697 ) ) or ( ( x_2 >= -0.7697 or x_2 >= -0.6697 ) until[11,28] ( x_0 >= -0.0997 or x_2 >= -0.6697 ) ) )","eventually[1,13] ( x_2 >= -0.7922 )","always[16,18] ( x_2 >= -0.7517 )"
10,( ( ( x_2 >= 0.2332 or x_2 >= 0.2332 ) or ( x_0 >= 0.2332 and x_0 >= 0.333 ) ) and ( ( x_0 >= -0.3632 or x_0 >= -0.3632 ) or ( x_0 >= -0.3632 or x_2 >= 0.3632 ) ) ),"( ( ( ( x_2 >= -0.0055 or x_2 <= -0.0005 ) or ( x_2 <= -0.0055 and x_2 <= -0.0005 ) ) or ( ( x_0 <= -0.1005 and x_2 <= -0.0005 ) and ( x_0 <= -0.1555 until[11,20] x_2 <= -0.0005 ) ) ) or ( ( ( x_0 <= -0.1505 or x_2 <= -0.0005 ) or ( x_0 <= -0.1555 until[12,20] x_2 <= -0.0555 ) ) or ( ( x_0 <= -0.1505 or x_2 <= -0.0505 ) or ( x_0 <= -0.1555 until[12,20] x_0 <= -0.0555 ) ) ) )",( ( ( x_2 >= 0.0361 or x_2 >= 0.0097 ) or ( x_0 >= -0.0097 or x_2 >= 0.0097 ) ) or ( ( x_0 >= -0.0097 or x_2 >= -0.0097 ) or ( x_0 >= -0.0697 and x_2 >= -0.0097 ) ) ),"( x_2 >= 0.1925 or ( x_0 >= -0.2223 until[19,21] x_0 >= -1.0223 ) )","always[0,17] ( not ( ( x_2 <= 0.1114 and ( not ( x_0 >= 1.2056 ) and eventually[6,19] ( not ( eventually[1,11] ( always[6,14] ( x_2 >= 0.8488 ) ) ) ) ) ) ) )"
11,not ( ( ( x_2 <= -0.533 or x_2 <= -0.533 ) and ( x_2 <= -0.536 or x_2 <= -0.536 ) ) ),"( ( ( x_2 >= -0.5155 or x_2 >= -0.5055 ) or ( x_2 >= -0.5055 until[10,22] x_2 >= -0.5005 ) ) or ( ( x_2 >= -0.0005 until[10,22] x_2 >= -0.5005 ) or ( x_0 <= -0.2555 until[12,25] x_2 >= -0.5505 ) ) )",not ( ( ( x_2 <= -0.5667 or x_2 <= -0.5997 ) and ( x_2 <= -0.5997 and x_2 <= -0.6697 ) ) ),"eventually[12,16] ( x_2 >= -0.4222 )","eventually[15,20] ( x_2 >= -0.4561 )"
12,( ( ( x_2 >= 0.2332 or x_2 >= 0.233 ) or ( x_0 >= -0.333 and x_1 >= 0.363 ) ) and ( ( x_2 >= 0.363 or x_0 >= -0.3632 ) or ( x_1 >= 0.3632 or x_0 >= -0.3632 ) ) ),"( ( ( ( x_2 <= -0.0055 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 and x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 and x_2 <= -0.0005 ) or ( x_0 <= -0.1555 until[15,25] x_2 <= -0.0005 ) ) ) or ( ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_0 <= -0.1555 until[21,29] x_2 <= -0.0555 ) ) or ( ( x_0 <= -0.1505 or x_2 <= -0.0505 ) or ( x_0 <= -0.1555 until[12,20] x_2 <= -0.0555 ) ) ) )","( ( ( ( x_2 >= -0.0367 or x_2 >= -0.0367 ) or ( x_2 >= -0.0397 or x_2 >= -0.0397 ) ) or ( ( x_0 >= -0.0397 or x_2 >= -0.0397 ) or ( x_0 >= -0.0397 and x_2 >= -0.0697 ) ) ) or ( ( ( x_0 >= -0.0997 or x_0 >= -0.0397 ) or ( x_0 >= -0.0697 and x_0 >= -0.0397 ) ) until[10,25] ( ( x_0 >= -0.0397 or x_2 >= -0.0097 ) or ( x_0 >= -0.009 and x_2 >= -0.009 ) ) ) )",( x_2 >= 0.2925 or x_1 >= 1.0225 ),"( ( always[8,11] ( x_1 >= 1.0839 ) or x_2 >= 0.3119 ) or x_0 >= 2.5607 )"
